Key,Translation
AnglerQuestText.Quest_BumblebeeTuna,"ป่าใต้ดินของ {WorldName} มีสิ่งที่แปลกประหลาดที่สุด! อย่างเช่นมีปลาตัวที่ผมเห็นซึ่งดูเหมือนกับแมลงภู่ตัวยักษ์! ผมแพ้ผึ้งดังนั้นคุณต้องจับมันให้ผม! ผมพนันได้เลยว่ามันจะมีรสชาติเหมือนแซนวิชทูน่าและน้ำผึ้ง!

(ต้องไปตกปลาที่  Honey)"
AnglerQuestText.Quest_Bunnyfish,"เห็นป่าข้างนอกนั้นมั้ย? ผมเคยออกไปตกปลาใช่มั้ย? เดาสิว่าเกิดอะไรขึน! กระต่ายกระโดดขึ้นมาหาผม! แล้วอีกตัวก็กระโดดมา และก็อีกตัวเรื่อยๆ... จนผมถูกล้อมไปด้วยกระต่าย! และหนึ่งในนั้นว่ายน้ำมาหาผม แต่มันไม่มีขา! ผมตกเก้าอี้ด้วยความประหลาดใจ และกระต่ายทั้งหมดก็ตกใจวิ่งหนีไป! ผมต้องการปลากระต่ายเป็นสัตว์เลี้ยง คุณจับมันให้ผมได้มั้ย!

(ต้องไปตกปลาที่  Surface)"
AnglerQuestText.Quest_CapnTunabeard,"มีกัปตันโจรสลัดที่เคยเลี้ยงปลาชื่อ Cap'n Tunabeard แต่ในช่วงที่เกิดพายุใหญ่ตู้ปลาก็ตกน้ำ! มันมีตะขอและตาและทุกอย่างเหมือนโจรสลัดเลย! คุณต้องเอาปลาตัวนั้นมาให้ผม ผมจะได้เจ๋งเหมือนโจรสลัด! เห็นได้ชัดว่ามันอยู่ในมหาสมุทรที่ไหนสักแห่ง!

(ต้องไปตกปลาที่  Ocean)"
AnglerQuestText.Quest_Catfish,"ในที่สุดผมก็พบแมวป่าที่ชอบน้ำ! ผมคิดว่ามันเป็นเพราะมันมีตัวกล้ายๆปลาด้วย ผมไม่รู้ว่าทำไมถึงเกิดขึ้นและผมก็ไม่อยากรู้ ผมแค่ต้องการมันอยู่ในมือของผมตอนนี้!

(ต้องไปตกปลาที่  Jungle Surface)"
AnglerQuestText.Quest_Cloudfish,"มีข่าวลือว่ามีเกาะที่ลอยสูงขึ้นไปบนฟ้าและมีสมบัติล้ำค่า! แต่ใครจะสนใจเพราะสิ่งที่เจ๋งกว่านั้น คือบางครั้งทะเลสาบก่อตัวเป็นเมฆและในทะเลสาบเหล่านั้นก็มีปลาที่สร้างจากเมฆ! ผมอยากรู้ว่ามันรสชาติยังไงงั้นไปจับมาให้ผมเลยดีกว่า!

(ต้องไปตกปลาที่  Sky Lakes)"
AnglerQuestText.Quest_Clownfish,"ผมเห็นปลาสีส้มและสีสันสดใสที่ริมทะเลและมันกำลังมองไปรอบ ๆ ราวกับว่ามันกำลังมองหาสมาชิกในครอบครัวที่หายไป! ไปจับมาให้ผมเผื่อที่อีกตัวจะได้โผล่มามองหาตัวถูกจับอีกที!

(ต้องไปตกปลาที่  Ocean)"
AnglerQuestText.Quest_Cursedfish,"มีปลาถูกสาปว่ายอยู่ในน่านน้ำบริเวณ corruption ในส่วนที่ลึกที่สุด! มันถูกสร้างขึ้นจากเปลวไฟที่ถูกสาป ที่แผ่ออกมาจากความน่าสะพรึงกลัว บางอย่างที่ซ่อนตัวอยู่ที่นั่น พวกเขากล่าวว่าไม่มีน้ำ หรือสิ่งใดๆสามารถดับไฟนั้นได้และ มันสามารถเผาไหม้ได้ตลอดกาลไม่มีดับ ผมนึกถึงสิ่งที่เจ๋งๆ ที่ผมสามารถทำได้กับปลานั้น! คุณจะไปเอามาให้ผมหรือป่าว หรือว่าคุณกลัวที่จะโดนไหม้ล่ะ!?

(ต้องไปตกปลาที่  Corruption)"
AnglerQuestText.Quest_DemonicHellfish,"ผมได้ยินมาว่าในโลกใต้พิภพ ราชาแห่งปีศาจทั้งหมดนั้นเป็นปลาจริงๆ! ลองจินตนาการถึงพลังที่แท้จริงที่ผมจะมีถ้าคุณจับมันมาให้ผม!

(ต้องไปตกปลาที่  Caverns)"
AnglerQuestText.Quest_Derpfish,"Derplings ในป่าเป็นสิ่งมีชีวิตที่น่ากลัวที่สุดที่ผมเคยเห็น! แต่เห็นบางตัวมันไม่มีขา! พวกมันอาศัยอยู่ในน้ําและน่ากลัวน้อยกว่ามาก! จับให้ผมหนึ่งตัว ผมอยากลองรสชาติมัน โดยที่ผมไม่ต้องเข้าไปเสี่ยงตายกับมัน

(ต้องไปตกปลาที่  Jungle Surface)"
AnglerQuestText.Quest_Dirtfish,"ผมรู้สึกกระอักกระอ่วนใจมาก เมื่อซอมบี้ท่าทางตลกตัวนึงโผล่ออกมาจากทะเลสาบในป่า และเริ่มเที่ยวเตร่พูคบ่นเกี่ยวกับปลาสายพันธุ์ที่ 'ดุร้าย' ที่ทำจากดิน! มันบอกว่ามันอาจโดนทับหายใจไม่ออก เพราะปลาขนาดสิบบล็อกหรืออะไรทำนองนั้น ... ผมต้องการปลานั่น! ตอนนี้เลย!

(ต้องไปตกปลาที่  Surface & Underground)"
AnglerQuestText.Quest_DynamiteFish,"นักรื้อถอนกำลังบ่นเกี่ยวกับการสูญเสียแท่งไดนาไมต์ในทะเลสาบในป่า แต่เขามีเหลืออีกเยอะนิ แล้วทำไมถึงสำคัญล่ะ? เห็นได้ชัดว่าเป็นเพราะมันเริ่มมีครีบและเริ่มว่ายน้ำหนี! ผมไม่รู้ว่าเขาเอาวัสดุจากไหนมาทำระเบิดว่ายน้ำได้ แต่เห็นได้ชัดว่าต้องมีคนเก็บมาครอบครองแน่ๆ! นั่นคือผมไง! ผมอยากได้ปลาที่ระเบิดฆ่าตัวตายได้มาตลอด! อย่าถามว่าทำไม ผมไม่ไปปลาระเบิดใส่ใครหรอก...

(ต้องไปตกปลาที่  Surface)"
AnglerQuestText.Quest_EaterofPlankton,"ผมพนันได้เลยว่าคุณไม่กล้าพอที่จะหา Eater of Plankton ปลา corrupt ที่กลายพันธุ์มาจากชิ้นส่วนของบอส Eater of Worlds ที่ถูกตัดขาดนั่นเอง! จับและนำมาให้ผมเพื่อพิสูจน์ให้ผมเห็นว่าคุณไม่ได้เป็นคนขี้ขลาด!

(ต้องไปตกปลาที่  Corruption)"
AnglerQuestText.Quest_FallenStarfish,"ผมชอบสะสมดาวสีเหลืองสดใสที่ตกลงมาจากท้องฟ้า! และ ผมก็ชอบมากเมื่อมันไปตกลงที่ศีรษะใครบางคน แต่ .. แต่ .. ไม่มีอะไรที่สามารถเอาชนะดาวที่ตกลงมาใส่ทะเลสาบและกลายเป็นปลาได้! นั่นเพียงพอที่จะเรียกว่าเจ๋ง และคุณก็เจ๋งเพียงพอที่จะจับมันมาให้ผม!

(ต้องไปตกปลาที่  Sky Lakes)"
AnglerQuestText.Quest_Fishotron,"ผมไม่รู้ว่าอะไรแย่กว่ากัน, ปลากระดูก หรือปลากระดูกที่มีมือ ปลา Fish-o-Tron นี้ลึกลงไปในถ้ํา มันทําให้ ผมตกใจจริงๆ! ผมคิดว่ามันถูกสิงโดยวิญญาณชั่วร้ายเดียวกันกับที่ครอบงำชายชราคนนั้นในคุกใต้ดิน! ผมขอท้าให้คุณจะไปจับมัน!

(ต้องไปตกปลาที่  Caverns)"
AnglerQuestText.Quest_Fishron,"มีตำนานของผู้ยิ่งใหญ่ที่รู้จักกันในชื่อ Fishron! มันคือหมูมีชิ้นส่วนคล้ายๆมังกร และชิ้นส่วนปลาผสมกัน! ผมได้ยินว่ามันอยู่ในทะเลสาบใต้ดิน อันเยือกแข็งของส่วนที่หนาวที่สุดของโลก! ผมจะไม่ไปที่นั่นดังนั้นคุณไปจับมัน และทำให้แน่ใจว่ามันจะตกมาอยู่ในมือผม!

(ต้องไปตกปลาที่  Underground Tundra)"
AnglerQuestText.Quest_GuideVoodooFish,"ปีศาจแห่งนรกเหล่านั้น ชอบตุ๊กตาวูดูมาก แต่ผมคิดว่าหนึ่งในตุ๊กตาของพวกเขาถูกทำลายเล่นด้วยเวทมนตร์มากเกินไป มันกลายเป็นปลาและทำสิ่งต่างๆด้วยตัวมันเอง ผมท้าให้คุณลงไปจับมันมา ระวังลาวาที่กำลังเดือดเพราะมันจะเผาคุณจนตาย และนั่นจะทำให้ผมไม่ได้ปลา!

(ต้องไปตกปลาที่  Caverns)"
